"lon","lat","date","track_name","type"
"62",-123.177829357406,16.9002484774571,1996-04-18,"crw_sim_1995CA-Bmu-00841","pseudos"
"63",-116.693076026813,31.2674837204715,2007-12-28,"crw_sim_2007CA-Bmu-00847","pseudos"
"64",-122.905690218965,36.7581682674993,2005-11-06,"crw_sim_2005CA-Bmu-00834","pseudos"
"65",-128.663915857135,29.1814993769209,2005-12-03,"crw_sim_2005CA-Bmu-10821","pseudos"
"66",-121.658176986782,31.5328736618517,2017-08-13,"crw_sim_2017CA-Bmu-05679","pseudos"
"67",-120.284275912652,34.036786951354,2007-09-29,"crw_sim_2007CA-Bmu-10836","pseudos"
"68",-123.090034520463,33.4465530653239,2008-02-25,"crw_sim_2007CA-Bmu-10836","pseudos"
"69",-133.975383295693,40.3709658583674,2000-10-19,"crw_sim_2000CA-Bmu-23029","pseudos"
"70",-117.066879291358,32.1969868308559,2007-12-08,"crw_sim_2007CA-Bmu-00847","pseudos"
"71",-113.996973115313,30.0747757084054,2014-08-23,"crw_sim_2014CA-Bmu-00847","pseudos"
"72",-124.330588770999,38.8337020302756,2005-08-22,"crw_sim_2005CA-Bmu-10821","pseudos"
"73",-123.094902951397,37.1570495293159,2005-10-13,"crw_sim_2005CA-Bmu-00834","pseudos"
"74",-122.069528234209,36.5517801980389,2017-10-09,"crw_sim_2017CA-Bmu-00845","pseudos"
"75",-118.757859432825,33.1193875275936,2017-08-20,"crw_sim_2017CA-Bmu-05679","pseudos"
"76",-119.463466818959,30.5290337224527,2008-01-09,"crw_sim_2007CA-Bmu-10836","pseudos"
"77",-106.562874238722,22.7007882882485,2015-10-16,"crw_sim_2015CA-Bmu-00825","pseudos"
"78",-117.624786066135,25.0499489069416,2006-11-27,"crw_sim_2006CA-Bmu-02083","pseudos"
"79",-121.544538382079,35.0755140223582,2005-09-30,"crw_sim_2005CA-Bmu-00849","pseudos"
"80",-120.388013244179,33.7061284535358,2015-08-04,"crw_sim_2015CA-Bmu-05640","pseudos"
"81",-129.321243808471,29.9328917901478,2008-01-15,"crw_sim_2007CA-Bmu-10838","pseudos"
"82",-119.991830302654,34.2588907614111,2004-10-18,"crw_sim_2004CA-Bmu-10833","pseudos"
"83",-119.761487666207,25.0562528583546,2015-11-06,"crw_sim_2015CA-Bmu-05640","pseudos"
"84",-125.233360176969,35.8487712566825,2015-09-02,"crw_sim_2015CA-Bmu-00849","pseudos"
"85",-126.354054652303,39.8686842651633,2017-01-21,"crw_sim_2016CA-Bmu-10825","pseudos"
"86",-123.277175863498,35.7714023439442,2015-08-25,"crw_sim_2015CA-Bmu-05726","pseudos"
"87",-116.544479894853,28.9664140395959,2000-03-20,"crw_sim_1999CA-Bmu-00838","pseudos"
"88",-120.069867074028,34.1811879180395,2004-08-17,"crw_sim_2004CA-Bmu-10820","pseudos"
"89",-115.985289317466,25.6960504911634,2008-10-07,"crw_sim_2008CA-Bmu-10821","pseudos"
"90",-121.419263277126,34.7806016401447,2015-07-31,"crw_sim_2015CA-Bmu-23033","pseudos"
"91",-122.811231064668,31.4863541413958,2008-03-06,"crw_sim_2007CA-Bmu-04174","pseudos"
"92",-116.030707140108,29.3337176885505,2006-11-04,"crw_sim_2006CA-Bmu-23039","pseudos"
"93",-120.557766985591,33.0259292687826,2015-10-10,"crw_sim_2015CA-Bmu-05640","pseudos"
"94",-126.730824076661,39.053174392874,2004-09-13,"crw_sim_2004CA-Bmu-10833","pseudos"
"95",-126.285421718242,9.13285985697387,1999-12-06,"crw_sim_1999CA-Bmu-04172","pseudos"
"96",-119.463683665541,32.5599199359976,2004-10-19,"crw_sim_2004CA-Bmu-00840","pseudos"
"97",-120.712072114457,28.8831369282061,2015-10-27,"crw_sim_2015CA-Bmu-00825","pseudos"
